"ACCOUNT_KEY","TYPE","LOCATION","PAYMENT"
9000007922,"Customer","Netherlands -> Netherlands -> North",57.5
9000138589,"Customer","Germany -> Central Europe -> East",57.5
9000012028,"Customer","Germany -> Central Europe -> East",161
9000173584,"Customer","Germany -> Central Europe -> East",161
9000178783,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000003449,"Customer","Italy -> South East Europe -> South",172.5
9000034872,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000078307,"Customer","Netherlands -> Netherlands -> North",57.5
9000112572,"Customer","France -> France International -> West",57.5
9000014864,"Customer","Czech Republic -> Eastern Europe -> East",241.5
9000145215,"Customer","France -> France International -> West",57.5
9000097495,"Customer","Germany -> Central Europe -> East",161
9000212350,"Customer","Netherlands -> Netherlands -> North",322
9000096196,"Customer","France -> France International -> West",517.5
9000126367,"Customer","United Kingdom -> Great Britain -> North",57.5
9000048152,"Customer","Switzerland DE -> Central Europe -> East",57.5
9000198739,"Customer","France -> France International -> West",57.5
9000149999,"Customer","Romania -> Eastern Europe -> East",57.5
9000213362,"Customer","Austria -> Central Europe -> East",161
9000077134,"Customer","Portugal -> Teleroute Iberica -> South",172.5
9000105339,"Customer","Germany -> Central Europe -> East",161
9000098490,"Customer","Netherlands -> Netherlands -> North",57.5
9000123535,"Customer","France -> France International -> West",345
9000156069,"Customer","Belgium -> BeLux -> North",115
9000176986,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000013596,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000019913,"Customer","France -> France International -> West",0
9000169019,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000000597,"Customer","Italy -> South East Europe -> South",345
9000071182,"Customer","France -> France International -> West",517.5
9000021128,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000087978,"Customer","Italy -> South East Europe -> South",345
9000031147,"Customer","Bulgaria -> Eastern Europe -> East",57.5
9000197595,"Customer","Austria -> Central Europe -> East",161
9000120410,"Customer","Germany -> Central Europe -> East",161
9000048414,"Customer","Netherlands -> Netherlands -> North",57.5
9000095096,"Customer","Poland -> Eastern Europe -> East",57.5
9000134397,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000106850,"Customer","France -> France International -> West",345
9000130939,"Customer","France -> France International -> West",345
9000125840,"Customer","Germany -> Central Europe -> East",161
9000099670,"Customer","Germany -> Central Europe -> East",161
9000062285,"Customer","France -> France International -> West",345
9000210979,"Customer","France -> France International -> West",345
9000113201,"Customer","Germany -> Central Europe -> East",57.5
9000119537,"Customer","Germany -> Central Europe -> East",161
9000186773,"Customer","Serbia-Montenegro -> Eastern Europe -> East",57.5
9000032167,"Customer","Germany -> Central Europe -> East",161
9000107582,"Customer","Germany -> Central Europe -> East",161
9000096570,"Customer","Slovakia -> Eastern Europe -> East",241.5
9000196486,"Customer","Germany -> Central Europe -> East",161
9000161370,"Customer","France -> France International -> West",57.5
9000174037,"Customer","Austria -> Central Europe -> East",57.5
9000023951,"Customer","Germany -> Central Europe -> East",57.5
9000178493,"Customer","France -> France International -> West",345
9000195715,"Customer","France -> France International -> West",345
9000016028,"Customer","Germany -> Central Europe -> East",161
9000188728,"Customer","France -> France International -> West",345
9000194232,"Customer","France -> France International -> West",517.5
9000204349,"Customer","France -> France International -> West",345
9000204526,"Customer","France -> France International -> West",517.5
9000169767,"Customer","France -> France International -> West",345
9000152327,"Customer","France -> France International -> West",517.5
9000149138,"Customer","France -> France International -> West",517.5
9000062658,"Customer","France -> France International -> West",345
9000040865,"Customer","France -> France International -> West",517.5
9000015385,"Customer","France -> France International -> West",517.5
9000151383,"Customer","Poland -> Eastern Europe -> East",241.5
9000216008,"Customer","Germany -> Central Europe -> East",161
9000201675,"Customer","France -> France International -> West",345
9000130842,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000199639,"Customer","France -> France International -> West",345
9000010015,"Customer","Poland -> Eastern Europe -> East",57.5
9000144862,"Customer","Switzerland DE -> Central Europe -> East",161
9000120233,"Customer","Switzerland DE -> Central Europe -> East",57.5
9000065120,"Customer","Poland -> Eastern Europe -> East",241.5
9000205891,"Customer","Poland -> Eastern Europe -> East",241.5
9000053214,"Customer","Belgium -> BeLux -> North",57.5
9000015815,"Customer","Belgium -> BeLux -> North",57.5
9000033701,"Customer","Poland -> Eastern Europe -> East",57.5
9000171356,"Customer","France -> France International -> West",517.5
9000182615,"Customer","Germany -> Central Europe -> East",161
9000100392,"Customer","Netherlands -> Netherlands -> North",322
9000090515,"Customer","Germany -> Central Europe -> East",57.5
9000035982,"Customer","Romania -> Eastern Europe -> East",57.5
9000111125,"Customer","Italy -> South East Europe -> South",57.5
9000084116,"Customer","Switzerland DE -> Central Europe -> East",57.5
9000141735,"Customer","Bulgaria -> Eastern Europe -> East",57.5
9000102095,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000083583,"Customer","France -> France International -> West",345
9000045861,"Customer","United Kingdom -> Great Britain -> North",345
9000205615,"Customer","Germany -> Central Europe -> East",161
9000028084,"Customer","Austria -> Central Europe -> East",57.5
9000165316,"Customer","Italy -> South East Europe -> South",172.5
9000180003,"Customer","Germany -> Central Europe -> East",161
9000091709,"Customer","Romania -> Eastern Europe -> East",57.5
9000110811,"Customer","France -> France International -> West",345
9000085325,"TLR internal","Germany -> Central Europe -> East",57.5
9000178092,"Customer","Belgium -> BeLux -> North",57.5
9000202903,"Customer","Poland -> Eastern Europe -> East",241.5
9000075808,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000005483,"Customer","Poland -> Eastern Europe -> East",57.5
9000078174,"Customer","Austria -> Central Europe -> East",161
9000031530,"Customer","France -> France International -> West",345
9000136012,"Customer","Bulgaria -> Eastern Europe -> East",57.5
9000172682,"Customer","Germany -> Central Europe -> East",161
9000197780,"Customer","France -> France International -> West",517.5
9000171797,"Customer","Belgium -> BeLux -> North",57.5
9000195308,"Customer","Germany -> Central Europe -> East",161
